Beginning evaluating......
==========================================================
Finish evaluating data1:(TP, TN, FP1, FP2, FN)=(320, 7, 5, 1, 0)
Finish evaluating data2:(TP, TN, FP1, FP2, FN)=(672, 6, 5, 2, 3)
Finish evaluating data3:(TP, TN, FP1, FP2, FN)=(200, 46, 5, 0, 1)
Finish evaluating data4:(TP, TN, FP1, FP2, FN)=(85, 12, 0, 0, 0)
Finish evaluating data5:(TP, TN, FP1, FP2, FN)=(295, 106, 13, 19, 1)
Finish evaluating data6:(TP, TN, FP1, FP2, FN)=(330, 26, 4, 0, 3)
Finish evaluating data7:(TP, TN, FP1, FP2, FN)=(584, 32, 2, 21, 3)
Finish evaluating data8:(TP, TN, FP1, FP2, FN)=(331, 12, 3, 1, 0)
Finish evaluating data9:(TP, TN, FP1, FP2, FN)=(109, 32, 0, 3, 0)
Finish evaluating data10:(TP, TN, FP1, FP2, FN)=(210, 24, 3, 3, 0)
Finish evaluating data11:(TP, TN, FP1, FP2, FN)=(2, 6, 246, 3, 59)
Finish evaluating data12:(TP, TN, FP1, FP2, FN)=(210, 12, 1, 1, 0)
Finish evaluating data13:(TP, TN, FP1, FP2, FN)=(206, 18, 1, 0, 4)
Finish evaluating data14:(TP, TN, FP1, FP2, FN)=(407, 23, 4, 0, 0)
Finish evaluating data15:(TP, TN, FP1, FP2, FN)=(75, 36, 2, 11, 0)
Finish evaluating data16:(TP, TN, FP1, FP2, FN)=(277, 4, 5, 0, 1)
Finish evaluating data17:(TP, TN, FP1, FP2, FN)=(70, 24, 0, 0, 0)
Finish evaluating data18:(TP, TN, FP1, FP2, FN)=(80, 45, 3, 1, 0)
Finish evaluating data19:(TP, TN, FP1, FP2, FN)=(65, 8, 79, 2, 2)
Finish evaluating data20:(TP, TN, FP1, FP2, FN)=(248, 94, 4, 7, 3)
Finish evaluating data21:(TP, TN, FP1, FP2, FN)=(136, 0, 0, 0, 0)
Finish evaluating data22:(TP, TN, FP1, FP2, FN)=(114, 9, 101, 1, 2)
Finish evaluating data23:(TP, TN, FP1, FP2, FN)=(577, 139, 15, 7, 6)
Finish evaluating data24:(TP, TN, FP1, FP2, FN)=(90, 23, 0, 1, 1)
Finish evaluating data25:(TP, TN, FP1, FP2, FN)=(205, 42, 2, 6, 0)
Finish evaluating data26:(TP, TN, FP1, FP2, FN)=(203, 6, 0, 1, 1)
Finish evaluating data27:(TP, TN, FP1, FP2, FN)=(451, 34, 5, 5, 3)
Finish evaluating data28:(TP, TN, FP1, FP2, FN)=(366, 30, 4, 3, 3)
Finish evaluating data29:(TP, TN, FP1, FP2, FN)=(119, 32, 0, 0, 0)
Finish evaluating data30:(TP, TN, FP1, FP2, FN)=(155, 5, 3, 3, 1)
Finish evaluating data31:(TP, TN, FP1, FP2, FN)=(354, 24, 7, 1, 1)
Finish evaluating data32:(TP, TN, FP1, FP2, FN)=(97, 33, 2, 4, 0)
Finish evaluating data33:(TP, TN, FP1, FP2, FN)=(105, 19, 0, 1, 0)
Finish evaluating data34:(TP, TN, FP1, FP2, FN)=(187, 41, 5, 4, 0)
Finish evaluating data35:(TP, TN, FP1, FP2, FN)=(158, 5, 1, 0, 1)
Finish evaluating data36:(TP, TN, FP1, FP2, FN)=(395, 46, 5, 3, 0)
Finish evaluating data37:(TP, TN, FP1, FP2, FN)=(79, 48, 2, 1, 0)
Finish evaluating data38:(TP, TN, FP1, FP2, FN)=(223, 21, 2, 3, 0)
Finish evaluating data39:(TP, TN, FP1, FP2, FN)=(373, 78, 43, 12, 1)
Finish evaluating data40:(TP, TN, FP1, FP2, FN)=(0, 6, 116, 7, 56)
Finish evaluating data41:(TP, TN, FP1, FP2, FN)=(367, 55, 5, 16, 0)
Finish evaluating data42:(TP, TN, FP1, FP2, FN)=(52, 37, 4, 3, 0)
Finish evaluating data43:(TP, TN, FP1, FP2, FN)=(115, 28, 0, 0, 1)
Finish evaluating data44:(TP, TN, FP1, FP2, FN)=(107, 0, 0, 0, 0)
