Beginning evaluating......
==========================================================
Finish evaluating data1:(TP, TN, FP1, FP2, FN)=(947, 16, 24, 8, 4)
Finish evaluating data2:(TP, TN, FP1, FP2, FN)=(2005, 15, 17, 12, 15)
Finish evaluating data3:(TP, TN, FP1, FP2, FN)=(600, 130, 13, 11, 2)
Finish evaluating data4:(TP, TN, FP1, FP2, FN)=(247, 28, 0, 8, 8)
Finish evaluating data5:(TP, TN, FP1, FP2, FN)=(888, 309, 32, 69, 4)
Finish evaluating data6:(TP, TN, FP1, FP2, FN)=(980, 80, 14, 1, 14)
Finish evaluating data7:(TP, TN, FP1, FP2, FN)=(1733, 93, 19, 69, 12)
Finish evaluating data8:(TP, TN, FP1, FP2, FN)=(990, 34, 12, 5, 0)
Finish evaluating data9:(TP, TN, FP1, FP2, FN)=(324, 91, 0, 17, 0)
Finish evaluating data10:(TP, TN, FP1, FP2, FN)=(613, 73, 18, 8, 8)
Finish evaluating data11:(TP, TN, FP1, FP2, FN)=(2, 16, 740, 11, 179)
Finish evaluating data12:(TP, TN, FP1, FP2, FN)=(610, 33, 10, 9, 10)
Finish evaluating data13:(TP, TN, FP1, FP2, FN)=(602, 52, 5, 2, 26)
Finish evaluating data14:(TP, TN, FP1, FP2, FN)=(1210, 55, 11, 14, 12)
Finish evaluating data15:(TP, TN, FP1, FP2, FN)=(224, 123, 7, 18, 0)
Finish evaluating data16:(TP, TN, FP1, FP2, FN)=(833, 11, 11, 1, 5)
Finish evaluating data17:(TP, TN, FP1, FP2, FN)=(206, 74, 1, 1, 0)
Finish evaluating data18:(TP, TN, FP1, FP2, FN)=(229, 133, 16, 8, 1)
Finish evaluating data19:(TP, TN, FP1, FP2, FN)=(190, 25, 241, 6, 6)
Finish evaluating data20:(TP, TN, FP1, FP2, FN)=(722, 290, 20, 16, 20)
Finish evaluating data21:(TP, TN, FP1, FP2, FN)=(406, 0, 2, 0, 0)
Finish evaluating data22:(TP, TN, FP1, FP2, FN)=(337, 27, 309, 3, 5)
Finish evaluating data23:(TP, TN, FP1, FP2, FN)=(1725, 413, 44, 28, 22)
Finish evaluating data24:(TP, TN, FP1, FP2, FN)=(269, 68, 1, 7, 0)
Finish evaluating data25:(TP, TN, FP1, FP2, FN)=(599, 126, 16, 18, 6)
Finish evaluating data26:(TP, TN, FP1, FP2, FN)=(606, 13, 3, 8, 3)
Finish evaluating data27:(TP, TN, FP1, FP2, FN)=(1340, 98, 20, 19, 17)
Finish evaluating data28:(TP, TN, FP1, FP2, FN)=(1072, 83, 20, 19, 24)
Finish evaluating data29:(TP, TN, FP1, FP2, FN)=(347, 96, 2, 3, 5)
Finish evaluating data30:(TP, TN, FP1, FP2, FN)=(457, 18, 14, 8, 4)
Finish evaluating data31:(TP, TN, FP1, FP2, FN)=(1041, 69, 24, 6, 21)
Finish evaluating data32:(TP, TN, FP1, FP2, FN)=(285, 102, 6, 12, 3)
Finish evaluating data33:(TP, TN, FP1, FP2, FN)=(312, 56, 0, 7, 0)
Finish evaluating data34:(TP, TN, FP1, FP2, FN)=(553, 122, 21, 13, 2)
Finish evaluating data35:(TP, TN, FP1, FP2, FN)=(464, 13, 1, 2, 15)
Finish evaluating data36:(TP, TN, FP1, FP2, FN)=(1168, 136, 15, 14, 14)
Finish evaluating data37:(TP, TN, FP1, FP2, FN)=(233, 138, 7, 12, 0)
Finish evaluating data38:(TP, TN, FP1, FP2, FN)=(659, 64, 8, 11, 5)
Finish evaluating data39:(TP, TN, FP1, FP2, FN)=(1116, 234, 128, 39, 4)
Finish evaluating data40:(TP, TN, FP1, FP2, FN)=(0, 22, 330, 17, 186)
Finish evaluating data41:(TP, TN, FP1, FP2, FN)=(1076, 175, 23, 41, 14)
Finish evaluating data42:(TP, TN, FP1, FP2, FN)=(155, 115, 5, 8, 5)
Finish evaluating data43:(TP, TN, FP1, FP2, FN)=(325, 83, 1, 4, 19)
Finish evaluating data44:(TP, TN, FP1, FP2, FN)=(314, 0, 1, 0, 6)
Finish evaluating data45:(TP, TN, FP1, FP2, FN)=(404, 109, 10, 2, 9)
Finish evaluating data46:(TP, TN, FP1, FP2, FN)=(1680, 330, 22, 69, 11)
Finish evaluating data47:(TP, TN, FP1, FP2, FN)=(892, 91, 3, 4, 9)
Finish evaluating data48:(TP, TN, FP1, FP2, FN)=(342, 5, 1, 1, 2)
Finish evaluating data49:(TP, TN, FP1, FP2, FN)=(1267, 40, 2, 8, 18)
Finish evaluating data50:(TP, TN, FP1, FP2, FN)=(760, 225, 6, 3, 11)
Finish evaluating data51:(TP, TN, FP1, FP2, FN)=(724, 78, 0, 15, 2)
Finish evaluating data52:(TP, TN, FP1, FP2, FN)=(1244, 142, 8, 20, 2)
Finish evaluating data53:(TP, TN, FP1, FP2, FN)=(730, 153, 3, 9, 2)
Finish evaluating data54:(TP, TN, FP1, FP2, FN)=(1137, 628, 5, 26, 1)
Finish evaluating data55:(TP, TN, FP1, FP2, FN)=(1432, 162, 4, 18, 7)
Finish evaluating data56:(TP, TN, FP1, FP2, FN)=(411, 176, 2, 28, 1)
